sequence,hf_prediction,hf_predicted_score
Who comes returns to hear this legendary song in 2022 🥵🥵😘,1,0.9929003119468689
Hey baby.... sugar daddy now 🥰😛,0,0.6910148859024048
"It’ actually mind boggling that he had that much of an impact on music at the age of 15, that’ insane.",1,0.6045878529548645
"12 years passed, everything changed, everyone changed And the inner meaning of love also changed",0,0.6507853269577026
to internet internet access internet 😀😀,1,0.9385172128677368
pokemon think,1,0.8576768636703491
GOOD🙃🙃,1,0.9976221323013306
love this song especially when💋 someone is lost or betrayed 💋,1,0.9891321659088135
This song is very good for me thank you,1,0.9979240298271179
hate this,0,0.9963507056236267
This is not hate comment but this video reminds me of Disney ingl😂🤣 but it’ good song,1,0.8736250996589661
jb is my dad fr fr🫃🏽,1,0.8879373073577881
So crazy how this shit is in 4k now lmaoo,1,0.6681947708129883
Getting Sturdy Was Invented In 2010 😶😳,0,0.9896631240844727
2022🇦🇴✅,1,0.9435756206512451
' the only one with me on 4/28/2022 here 😂😂😂,1,0.56205815076828
Tell Justin Bieber that love him and my name is Soraya,1,0.9959648847579956
Love him so much ❣️😍,1,0.998133659362793
Do you like the song baby from Justin Bieber kisses,1,0.901328980922699
My name is Soraya annalee Brooke Gordon,1,0.7456627488136292
27 april :),1,0.9631458520889282
Last year came to listen to this the comment section was filled wid hate comments today its full of beautiful comments 💜💜,1,0.904525101184845
"There' actually nothing to hate about this song, it' so perfectly made.",1,0.9715652465820312
Who' coming for Justice Tour? ' in 😍,1,0.8467792272567749
2022💕😩🇮🇶🇮🇶,0,0.703934371471405
_😭_,0,0.9943005442619324
know we meet again...,1,0.7072234153747559
no me pises 😃,0,0.9845179319381714
Night time music🎤🎼🎹🎶,1,0.993726909160614
Baby thara te kat rhi he,1,0.5708650946617126
Listening to this 27th of April and it' still masterpiece 🥺❤️,1,0.9977976679801941
I Am here again because of alessia ....,1,0.9746819138526917
2022 sri 🇱🇰,1,0.7650709748268127
Use me as dislike Button 👎,0,0.990781307220459
"You know you love me, know you care Just shout whenever and will be there You want my love, you want my heart And we will never, ever, ever be apart Are we an item? Girl, quit playin' We are just friends, what are you sayin' Said, ""there' another, "" and looked right in my eyes My first love broke my heart for the first time And was like baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Oh, for you, would have done whatever And just can' believe we ain' together And want to play it cool But ' losin' you will buy you anything will buy you any ring And ' in pieces, baby, fix me And just shake me 'til you wake me from this bad dream ' going down, down, down, down And just can' believe my first love won' be around And ' like baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Luda, when was thirteen, had my first love There was nobody that compared to my baby And nobody came between us or one could ever come above She had me going crazy Oh, was starstruck She woke me up daily Don' need no Starbucks She made my heart pound And skip beat when see her in the street and At school on the playground But really want to see her on the weekend She know she got me dazin' Because she was so amazin' And now my heart is breakin' But just keep on sayin' Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine ' gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) now ' all gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) now ' all gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) now ' all gone (Gone, gone, gone, gone) ' gone",0,0.8435711860656738
anybody' the song after 12yers😂😂 rise your hand,0,0.5547863245010376
He is baby himself,0,0.8149910569190979
It' shame that dislikes are useless now.,0,0.9788802266120911
"Whoever is listening to this song in 2022, leave LIKE plssssss, and do comment....",1,0.6755502223968506
3:17 is the funniest scene in the whole song,1,0.9811387658119202
After 12 years 've only just noticed that Drake has the most random cameo in this video???,0,0.9055713415145874
"was 13 when first listened to this song, now i am 23, timeflies,, Dammyunm",1,0.5868662595748901
' here In 2022 April 27 🖤 still this is soo ❤️,1,0.998314380645752
What the drake doing ?,0,0.8520272374153137
OMG YOU ARE VERY GOOD SINGER,1,0.9977384209632874
Favorite one❣️👍,1,0.9985872507095337
27th of April 2022,0,0.5208394527435303
Yai yai,1,0.8369895815849304
It feels like yesterday dude,0,0.6452293992042542
This girl must be regretting now 🤐🤐,0,0.9956095218658447
So god,1,0.9917132258415222
like women with little cuteness,1,0.9643612504005432
full lots of memories from childhood . Masterpiece ♥️,1,0.9968445301055908
The comment section is still alive 😳🔥❤️,1,0.9809750318527222
🥲🎤 this shong,0,0.9880740642547607
27 4 2022,0,0.5397244691848755
27-4-2022 🥰,0,0.9900326728820801
27 April anyone ????🙂,1,0.7951498627662659
World best song 😍😍😍,1,0.9974724650382996
Masterpiece 😘😘😘😘,1,0.9979556202888489
What the fuck is this,0,0.9770205020904541
love you 🇱🇦♥️,1,0.9969844222068787
Actually viral on TikTok 😁😅,0,0.9045259356498718
"ITS ,,APRIL 27 2022,, SEE HOW MANY LEGENDS ARE LISTENING TO THIS BEAUTIFUL SONG😁😁😁😁 JUSTIN BIEBER💚💙♥️ LOVE FROM INDIA 🇮🇳🇮🇳🇮🇳😁",1,0.9977540969848633
"love very much this song can' stop hear this ,",1,0.9967622756958008
2022 😍🤩,1,0.91749507188797
Still can' believe Ludacris decided to be apart of this...,0,0.964278519153595
This song will age like wine. It gets better as it gets older.,1,0.9842484593391418
"listening from 2023 🤣 , damn this song will never old",0,0.6347261667251587
2022 MAI KON DeKH RAHA HAI,1,0.5268633961677551
0:53,0,0.6249944567680359
0:37,0,0.6314680576324463
New 28-04-2022,1,0.5913906097412109
The first song ever hated,0,0.9954675436019897
Legends watching this video after 12 yrs in 2022..😎,1,0.6729653477668762
2.7 bill! That Is like half the world 💀,0,0.5516781806945801
Best song everr💜🌹,1,0.9979541301727295
Criiiiinge,0,0.8741134405136108
21M likes !!! Yessss,1,0.9976363778114319
"When was 13, had my first love Me being 13 👁👄👁",1,0.9634339809417725
After all these years never knew drake was in this video 1:15,0,0.5502400994300842
The first song 've listened to,1,0.5073768496513367
27th of April 2022 let’ see who still is listening to this song.,0,0.7108954787254333
selena vibes,1,0.9640659689903259
Babyyy . 🔥🔥🔥,1,0.9907415509223938
27th April 2022 Let' see how many People are still listening this masterpiece ❤️,1,0.9955898523330688
12 yr,0,0.548717200756073
"pathetic really, how kids are stretched out to behave like adults. Puke worthy!",0,0.9944872260093689
"Really love this songs since was in elementary school:"")",1,0.9915995597839355
Listen to it every day.,1,0.9197191596031189
FOV: You are 12 years late,0,0.9808570146560669
This song will never be old,1,0.9833667874336243
Hii ' from Cambodia 🥺🙏♥️,1,0.9985798597335815
This song never gets old. No matter how much listen. never get bored.,1,0.9855556488037109
ara ara kimochi,1,0.6591275930404663
This reminds me Of the the way you make me feel by Michael Jackson,1,0.9468704462051392
"Baby Oh whoa, oh whoa, oh whoa You know you love me, know you care Just shout whenever and will be there You want my love, you want my heart And we will never, ever, ever be apart Are we an item? Girl, quit playin' We are just friends, what are you sayin' Said, ""there' another, "" and looked right in my eyes My first love broke my heart for the first time And was like baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Oh, for you, would have done whatever And just can' believe we ain' together And want to play it cool But ' losin' you will buy you anything will buy you any ring And ' in pieces, baby, fix me And just shake me 'til you wake me from this bad dream ' going down, down, down, down And just can' believe my first love won' be around And ' like baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Luda, when was thirteen, had my first love There was nobody that compared to my baby And nobody came between us or one could ever come above She had me going crazy Oh, was starstruck She woke me up daily Don' need no Starbucks She made my heart pound And skip beat when see her in the street and At school on the playground But really want to see her on the weekend She know she got me dazin' Because she was so amazin' And now my heart is breakin' But just keep on sayin' Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh thought you' always be mine, mine ' gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) now ' all gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) now ' all gone (Yeah, yeah, yeah) (Yeah, yeah, yeah) now ' all gone (Gone, gone, gone, gone) ' gone",0,0.815593957901001
Its 27th of april 2022 ! 13:32pm let us fricken see who' fan of baby even till this day and listens to it again again like me !,1,0.7167322635650635
Its 27 th of April..let us see how many are listening to this master peice....love from India💞ADDICTED TO THIS SONG FROM BEGNING💝,1,0.9928652048110962
2022 still,1,0.5004971027374268
Anyone 2022? this masterpiece song🔥🔥🔥🔥,1,0.9940177798271179
"They don' make music like this anymore, only 00s kids remember",0,0.5901522636413574
Who is still listening to it ?😍🤔,0,0.9843754172325134
This song is immortal.,1,0.9781695604324341
Can we make it to 3 billion?,0,0.5046417713165283
"""cuz my first love break my heart for the first time?"" Is it for Billie elish?",0,0.9705747961997986
This song never get old🥰🥰🥰🥰,1,0.9729235172271729
Does anyone listen to this music now❤⭐,1,0.9921618700027466
April 26 let’ see who’ still listening,0,0.5121703147888184
27 April 2022: let' see how many people listening to this masterpiece.,1,0.9617605209350586
The best song forever,1,0.9917529821395874
remember the day this music video came out when was in second grade. Feels like yesterday!😂😂,1,0.8590714931488037
lyrics batter baby bbbay,0,0.7523061633110046
0:34 why does he remind me of Adrien From Miraculous Ladybug???,0,0.7808787822723389
Kings Is alows king.🥰,1,0.9130172729492188
27th of april 2022 ❣,1,0.993337869644165
Didn’ realize drake was in it,0,0.6347803473472595
Nostalgia 2022 April,1,0.9787213802337646
legends listening this in 2022,1,0.6298757195472717
lie to not listened to this song all day today… ’ freshman in college,0,0.8964798450469971
been listening scenic was 5,1,0.9856964349746704
Bro drake is there wtf,0,0.9903469085693359
bro i do not know why but it the first time realize that Drake was in the clip🙂,1,0.8060248494148254
I Am from indonesia..nostalgia 2010th,1,0.8877917528152466
aw they got moves though,1,0.8843229413032532
Never get old🤭🥶,1,0.9120225310325623
💯💯💯💯💯💯,1,0.9971833825111389
"2.7 Milions view, woooooowwww Amzing",1,0.9963201880455017
April 26 2022 who’ listening to this masterpiece right now,1,0.9897130131721497
Here in 2022☕️,0,0.8477042317390442
Back to when we all had crush on him😂💕,1,0.8471781611442566
wonderful and lovely,1,0.9976406693458557
27 April,1,0.5002477765083313
Selena justin you love don' is lovve❤❤,1,0.9979370832443237
Were. Good.,1,0.995581865310669
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,1,0.9752286672592163
Nostalgia pura 😍🇧🇷,1,0.996751070022583
Cool 🆒,1,0.9969519972801208
Since when has drake been in this video!?!,0,0.9531041979789734
12 years ago here .🔥💗,0,0.7655282616615295
BIEBER🌈 #ITZY 🌈 #ENHYPEN🌈,1,0.9962805509567261
didn' know that justin was simp,0,0.739908754825592
Someone know there is Drake in the clip in the bowling ?,0,0.7511664032936096
Baby Just Bieber,1,0.7170637249946594
Don’ let nostalgia play with you. This song was garbage back in 2010 and still remains bad,0,0.9904048442840576
Listening 26/April/2022,1,0.5799059867858887
One of the best songs of my childhood ' still listening to 2022,1,0.9939152002334595
This song makes me shudder and will not explain,0,0.9933516979217529
1:21 why is Drake in this video and why did never notice him?,0,0.849585235118866
2022 listen 👂,1,0.8653370141983032
my first and last love @|€€ba ❤️,1,0.9958980083465576
2:02 Drake,1,0.5857071876525879
Who stil listening in 2022,0,0.5690258741378784
26 april 2022,1,0.5119790434837341
The time when every girl had crush on him,1,0.9724340438842773
love this SONG the best song EVER❤️‍🔥💋🌹,1,0.998271107673645
27 April 2022,1,0.5036605000495911
Nostalgia 🥺,1,0.9549103379249573
This dude skipped puberty and went straight to full mustache,0,0.7758198976516724
"April 26,2022 😉😉",1,0.9415274858474731
Here' the truth: this video is almost older than me,0,0.7148754596710205
Leaving this comment for the generations to come.... ⚽⚽,1,0.5910143852233887
"Ó THEM DŽÍ, AJEM JOR BYGEST FANJE LAJK KANJE 🥵🥵🥵😘😘😍😍😍",1,0.9966534376144409
No matter how mature we become with days passing but we all are always fascinated by those childhood funny memories ♥ 😄,1,0.973950207233429
Thanks dude for reading my comment.🙃,1,0.8764350414276123
Pov: you come tiktok in 2022,1,0.6259984970092773
Anyone in 2022?,0,0.6706569790840149
Are we just going to ignore the fact that Biebs is aggressively pursuing this girl to include physically harassing and assaulting her? Where' cancel culture on this? Is there statute of limitations when there is video evidence such as this? We also need to figure out who wanted to further promote this behavior and digitally remaster this in 4K?!?,0,0.9807081818580627
It' one of the best song 've ever heard first heard it 7 years ago and ' still listening to it ❤️❤️❤️❤️❤️❤️can’ get over it,1,0.9969253540039062
Nostalgia 😭😭❤️❤️,1,0.9952101707458496
2022 who is here,1,0.5616911053657532
26 april 2022 still listening to this song,1,0.7431895136833191
am here after 11 years,1,0.6605507731437683
Who is watching in April 2022?,1,0.5309815406799316
he looks gay there.,0,0.9447688460350037
Justin you look so handsome.,1,0.9963354468345642
12 years of the greatest songs ❤️,1,0.997250497341156
love this song can' stop to hear it again and again Like baby baby baby uhhhhh like baby baby baby noooo thought just always be mine and mine. This song created at 12y ago but this is favourite of alll now nooooo argh,1,0.9852290153503418
At that time was 4 years old.When Justin released this song was just 4 years old.,1,0.5874708890914917
watched this song 2022 april 26,1,0.6702567338943481
It' really masterpiece,1,0.9950115084648132
12 years ago any legend here,1,0.6900249719619751
27april 2022 how many legends are listening❤,1,0.9875858426094055
"Dear parents: Just because your child is smiling at their phone, doesn' mean they have boyfriend or girlfriend, they are watching this masterpiece. 🔥🔥😄",1,0.9645597338676453
people watching this in 2022 >>>>>>>,0,0.505423903465271
Imaginetryingtobowlbutthereguysdancingonthelanes🥰🥰🥰🥰,0,0.98375004529953
miss her 💔 and cannot see her 💔,0,0.7361467480659485
This song 🥹my sis loves it .,0,0.9817442893981934
One of my favourite songs,1,0.9887875318527222
After 12 years me comment,0,0.5855416655540466
Hello 💕,1,0.995938777923584
Hiii 👍💕,1,0.9986009001731873
Let see How many peoples watching this song in 2022 June.,1,0.6492232084274292
How many peoples watching this song in 2022.,0,0.6130297183990479
Yeah old days riding bicycle around the streets Ohh man🥲,0,0.9830764532089233
This song never be old 💯❤️🔥,1,0.9973713755607605
he was the frank zappa of his time,1,0.8698163032531738
This song is so relateble 💯,1,0.9964064359664917
Watch in 2022 likee,1,0.9534804821014404
First English song listen 🤣,0,0.9830104112625122
Any 1 2022 april 26th give 👍,1,0.9579251408576965
It' been so long played this song but surprisingly still know the lyrics BY THE WAY is it just me or did just see drake,1,0.6931244134902954
Its maizing,1,0.8066710829734802
watched this video in 2022,1,0.6216036081314087
magneficante,1,0.989665150642395
"This sucks, my ears hurt",0,0.997622549533844
the lyrics gold but the music video trash,0,0.5804110169410706
Hold up.keep it up justin .good job broh -son vibe is. In the house,1,0.996067225933075
Still the worst song ever made,0,0.993127703666687
Love 💕 you are song,1,0.9973828196525574
26th April 2022 -still🔥,0,0.9958723783493042
🤢🤢🤢🤮🤮🤮🤮🤮🤮,0,0.9884818196296692
"This was the Justin' highest disliked song,,But,where is the number button?😂",0,0.9964072108268738
12 years but ...😌❤️✨,1,0.9973145127296448
"message to the future generations: ""DON' LET THIS SONG DIE""",0,0.7059476971626282
if you did these three things: 1-listen to this song 2-like this comment 3-subscribe to my channel you are legend.,1,0.9671931266784668
*someone will find this comment one day*,0,0.7217574715614319
This song is soo good like this song singer justin biber,1,0.9931043386459351
Bruh still so many are listening to this song😂,0,0.5168319344520569
It amazing that what? 13 yo can score billion views ♥️♥️♥️♥️❤️❤️❤️❤️❤️ love Justin❤️❤️❤️❤️❤️😍😍❤️🥹❤️😍❤️😍❤️😍😍❤️😍❤️,1,0.9981415271759033
This my jamm,0,0.7723625898361206
Kon abhi bhi ye song sun raha hh 26april 2022,1,0.5154556632041931
*Try this one*,1,0.9683860540390015
"This song Remember me,first love at School on 28th January 2020.",1,0.7851262092590332
Chapri nibba nibbi,1,0.8994552493095398
26 apr 2022 loved one,1,0.8091703057289124
My Fevorite Song 🥰🥰 and Love Justin ❤️❤️❤️❤️❤️❤️,1,0.9978065490722656
"AT THE AGE OF ONLY 28 Justin Bieber became the first musical artist in history to achieve 10M, 20M, 30M, 40M, 50M, 60M SUBSCRIBER what legend THE kidrauhl 1 SORRY 3.5B 2 BABY 2.7B 3 WHAT DO YOU MEAN 2.1B 4 LOVE YOURSELF 1.6B 5 , THE ONE 1.6B 6 WHERE ARE YOU NOW 1.2B 7 NEVER SAY NEVER 1B 8 LET ME LOVE YOU 1B 9 LET ME LOVE YOU LYRICS 1B 10 COLD WATER 1B 11 BEAUTY AND THE BEAT 996M 12 BOYFRIEND 846M 13 ONE TIME 706M 14 YUMMY 704M 15 DESPACITO REMIX 670M 16 COMPANY 632M 17 ENNIE MENNE 535M 18 STAY 527M 19 DON' CARE 510M 20 PEACHES 508M 21 WILL SHOW YOU 496M 22 INTENTIONS 495M 23 2U 489M 24 AS LONG AS YOU LOVE ME 485M 25 SOMEBODY TO LOVE 480M 26 MISTLETOE 451M 27 LOVE ME 426M 28 ONE LESS LONELY GIRL 400M 29 SORRY LYRICS 339M 30 NO BRAINER 326M 31 CONFIDENT 318M 32 THAT POWER 311M 33 NEVER LET YOU GO 304M 34 NEXT TO YOU 301 35 LOLLY 282M 36 POPSTAR 262M 37 COLD WATER DANCE 259M 38 10000 HOURS 232M 39 DON' CARE LYRICS 223M 40 ALL THAT MATTERS 220M 41 ALL WANT FOR CHRISTMAS IS YOU 213M 42 HOLY 200M 43 WHAT DO YOU MEAN LYRICS 197M 44 STUCK WITH YOU 193M 45 SMILE 178M 46 MONSTER 173M 47 WAIT FOR MINUTE 151M 48 LONELY 147M 49 PURPOSE 138M 50 PRAY 133M 51 SORRY REMIX 129M 52 LOVE YOURSELF LIVE 129M 53 THAT SHOULD BE ME 122M 54 STUCK WITH YOU LYRICS 115M 55 GHOST 109M 56 SORRY LIVE 105M TOTAL ALMOST 33000M/33B VIEWS Justin Bieber,s100M + VIEWS songs are officially featured here. He is the first artist in history to have 20 songs on YouTube with 500M + VIEWS and 7 songs from his first album at the BILLBOARD HOT 100. INSTAGRAM 230M TWITTER 114M FACEBOOK 91M YOUTUBE 68.4M SPOTIFY 60M TIKTOK 23M TOTAL 586M+ FOLLOWERS ON INTERNET THIS IS JUSTIN BIEBER THE TRUE LEGEND THE KING 🤴 OF MUSIC 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 #JB #JUSTINBIEBER #kidrauhl",1,0.9435351490974426
Once this was the most disliked video on utube,0,0.9942708015441895
When justin bieber still justin bieber,1,0.8153077960014343
wanted to be that girl so bad.,1,0.7944114804267883
Ohhho back,1,0.9132807850837708
.,1,0.5168842673301697
Wait was born in 2009 how- like - feel old-👩🏻‍🦲,0,0.9570633769035339
Feed Good Food to Saints and Saadhus! 🌿🌿🌿🌿🌿🌿🌿🌿 Importance and specialities of doing Sahasra Chandi Homam💐💐💐💐💐💐💐👇🏻,1,0.9962016940116882
25 April 2022 now see whoever listning this legendary song,1,0.8917188048362732
26. April .2022 am still here and listening this song,1,0.7895297408103943
"🏹this song💘""tomorrow is my 10th boards"" hope will find this comment 26th april 2022",1,0.994421660900116
🖤someone find this comment one day 🖤,0,0.7460278272628784
April 2022,1,0.556382954120636
love this so much it has been on repeat 24/7 😍😊😘😝🥰🙃❤️✅👍😉😅,1,0.998227059841156
this song is the best,1,0.9948827028274536
Who still returned to this nostalgic song even after pressing the dislike button?,0,0.9843854904174805
12 years is already person' age 🥰,0,0.9921684861183167
Lots of Love from India🇮🇳 justin bieber my favorite person ❤❤❤❤❤ favorite song🎵 ❣️,1,0.9981383681297302
Isn’ that Drake at 1:15 ._.,1,0.623040497303009
Love Song 💙💙,1,0.9973524212837219
childhood memory,1,0.6336700320243835
02325020202020202220202202,1,0.5256094932556152
Why your censor my password ******** see,0,0.9590919017791748
used to love this song when was 7,1,0.9697586297988892
April 25 2022 anyone else,0,0.5763611197471619
’ watching never say never music movie video of you Justin and you are so cute when you were oh no and ’ just so proud of you for what you have done and believe in you,1,0.9966117739677429
Missing this Baby Justin Bieber 😢😍😂,0,0.9417610168457031
#GoHomeGota2022,0,0.9699882864952087
Now Also On Trend,1,0.9847931265830994
If you are older than 13 and consider this little boy song priceless there is something wrong with you. He is pre teen or barely teen here. Making little girls excited. It' gross and you should be ashamed.,0,0.9631630182266235
Hbaui,1,0.6401820182800293
daddy fr,1,0.5719408392906189
"Dear Justin, love your music! Can you produce me? ' multigenius! ' pianist, singer-songwriter, dancer, painter and world improver.! Love, Anna Einstein",1,0.9945278763771057
My idol when it comes to singing ❤️,1,0.9971809983253479
🫦🫦🫦,0,0.7304490804672241
MICHAEL JACKSON AND JUSTIN BIEBER ARE THE KINGS OF POP,1,0.9654022455215454
hair2023,1,0.5778047442436218
🔥🔥🔥🇸🇳🇸🇳,1,0.7892334461212158
"love this song! listened to it in 2020 and knew was going to come back! The first time watched is when was 3 and loved it. So Justin,your the best!",1,0.9969316720962524
Still 2022 ❣️,1,0.9950945973396301
baby baby bdy akfrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0,0.9509605169296265
Love you so much,1,0.9966157078742981
"21 million likes and 0 dislike, no wonder it' the most beautiful song in the world",1,0.9851610660552979
"APRIL 25 2010 to APRIL 25 2022 , twelve years later this song is the best ❤️",1,0.9972551465034485
Bad song 🤮🤢,0,0.9970579743385315
🤣🤣😂😅,1,0.6530809998512268
If want to be in 2010 just listen Baby..,1,0.6823151111602783
jajajajaja no mames wey,0,0.6874712705612183
The 8 year old dreaming about how he’ sing to his crush on the talent show and he’ become famous:,0,0.5851129293441772
This is old but gold. 😭❤ Check out another classic song and reminisce your high school memories. Click here:,1,0.9911790490150452
💖💖💖💖.,1,0.9972268342971802
remember the days pre- listening to this bra,0,0.7038650512695312
*12 years laters and still hits on mute*,0,0.9240067005157471
Oh it' addictive that Justin Bieber is awesome,1,0.9931697845458984
Who is listening to this song in 2022 😆🥰Still my favourite song,0,0.840540885925293
🤮👎,1,0.9773460626602173
Is this shit still being legal on 2022? 🤢,0,0.982414960861206
25th of April let' see how many people are listening to this masterpiece,1,0.9799701571464539
2022 am still listening,1,0.5374038815498352
He looks so young,1,0.6886287927627563
Watching this music video 10x day for 10 years love it😍😍😍,1,0.9972851276397705
Monday 25th april 2022 🗓 Let' see how many people are listening to this song in this date,0,0.8334614038467407
To think.. he started off on youtube with guitar.,1,0.5139162540435791
Who is watching in 2022🖐️,0,0.9591026902198792
DRAKE???,0,0.97581547498703
just randomly thought about this 🔥 as song,0,0.9552258849143982
🤮🤮👎,1,0.9111084342002869
This song..,1,0.8167785406112671
Evergreen ✨,1,0.9964661002159119
2007 to 2022 still listing,1,0.5787063241004944
"This song makes my heart happy, and breaks it at the same time. Will always be my favourite.",1,0.9559861421585083
25th of April 2022 let' see how many people are still listening to this masterpiece,1,0.9673823714256287
2022 😆,0,0.9525001049041748
justin burge😄,1,0.7679678797721863
This song lonched before 1 of my birthday,0,0.6144921779632568
Because of Ludacris' rap this song is my guilty pleasure,1,0.9501587152481079
12 yrs and still know all the words🐐,0,0.7606279253959656
25th of april 2022.how many of listening stiil,0,0.577602207660675
Professional one..🌎🌎,1,0.9954010248184204
like it or not but you can' deny the fact that this is the biggest banger of all time and justin literally shook the whole earth with this single,1,0.9278473854064941
Use me as Dislike button,0,0.9893298149108887
Broh 25 of April 2022 Craze on another level,1,0.9161443710327148
Whoa baby,0,0.7664967179298401
22 april 😄,0,0.6139692068099976
ohhhhhhhhhhhhhhhhh ah,0,0.8085339665412903
babyy babbbyyy ohhhh likee babyyyy babbbyyy nooo,1,0.5718267560005188
Cute fresh...,1,0.9944133758544922
really love you❤️,1,0.997793972492218
Any Telugu Like Hear❤️❤️❤️,1,0.996647834777832
8 may 2022 let' see how many people listing this song......?,1,0.535522997379303
It' been 12 years who missed the baby Justin Bieber ❤️❤️❤️🔥🔥....,1,0.9922904372215271
💩🖕🤪🤣😄😁💖🤤,1,0.996824324131012
🤤💖,1,0.9713810086250305
2:14 memes In the philippines hahahaha,1,0.6100903749465942
Most disliked video in YouTube,0,0.9968490600585938
Anyone on 25th of April??,0,0.6962643265724182
